A009;Choléra, sans précision
M479;Spondylarthrose, sans précision
M4790;Spondylarthrose, sans précision - Localisations vertébrales multiples
M4791;Spondylarthrose, sans précision - Région occipito-atloïdo-axoïdienne
M4792;Spondylarthrose, sans précision - Région cervicale
M4793;Spondylarthrose, sans précision - Région cervico-dorsale
M4794;Spondylarthrose, sans précision - Région dorsale
M4795;Spondylarthrose, sans précision - Région dorso-lombaire
M4796;Spondylarthrose, sans précision - Région lombaire
M4797;Spondylarthrose, sans précision - Région lombo-sacrée
M4798;Spondylarthrose, sans précision - Région sacrée et sacro-coccygienne
M4799;Spondylarthrose, sans précision - Localisation non précisée
M480;Rétrécissement du canal médullaire
M4800;Rétrécissement du canal médullaire - Localisations vertébrales multiples
M4801;Rétrécissement du canal médullaire - Région occipito-atloïdo-axoïdienne
M4802;Rétrécissement du canal médullaire - Région cervicale
M4803;Rétrécissement du canal médullaire - Région cervico-dorsale
M4804;Rétrécissement du canal médullaire - Région dorsale
M4805;Rétrécissement du canal médullaire - Région dorso-lombaire
M4806;Rétrécissement du canal médullaire - Région lombaire
M4807;Rétrécissement du canal médullaire - Région lombo-sacrée
M4808;Rétrécissement du canal médullaire - Région sacrée et sacro-coccygienne
M4809;Rétrécissement du canal médullaire - Localisation non précisée
M481;Hyperostose ankylosante [Forestier]
M4810;Hyperostose ankylosante (Forestier) - Localisations vertébrales multiples
M4811;Hyperostose ankylosante (Forestier) - Région occipito-atloïdo-axoïdienne
M4812;Hyperostose ankylosante (Forestier) - Région cervicale
M4813;Hyperostose ankylosante (Forestier) - Région cervico-dorsale
M4814;Hyperostose ankylosante (Forestier) - Région dorsale
M4815;Hyperostose ankylosante (Forestier) - Région dorso-lombaire
M4816;Hyperostose ankylosante (Forestier) - Région lombaire
M4817;Hyperostose ankylosante (Forestier) - Région lombo-sacrée
M4818;Hyperostose ankylosante (Forestier) - Région sacrée et sacro-coccygienne
M4819;Hyperostose ankylosante (Forestier) - Localisation non précisée
M482;Arthrose interépineuse
M4820;Arthrose interépineuse - Localisations vertébrales multiples
M4821;Arthrose interépineuse - Région occipito-atloïdo-axoïdienne
M4822;Arthrose interépineuse - Région cervicale
M4823;Arthrose interépineuse - Région cervico-dorsale
M4824;Arthrose interépineuse - Région dorsale
M4825;Arthrose interépineuse - Région dorso-lombaire
M4826;Arthrose interépineuse - Région lombaire
M4827;Arthrose interépineuse - Région lombo-sacrée
M4828;Arthrose interépineuse - Région sacrée et sacro-coccygienne
M4829;Arthrose interépineuse - Localisation non précisée
M483;Spondylopathie traumatique
M4830;Spondylopathie traumatique - Localisations vertébrales multiples
M4831;Spondylopathie traumatique - Région occipito-atloïdo-axoïdienne
M4832;Spondylopathie traumatique - Région cervicale
M4833;Spondylopathie traumatique - Région cervico-dorsale
M4834;Spondylopathie traumatique - Région dorsale
M4835;Spondylopathie traumatique - Région dorso-lombaire
M4836;Spondylopathie traumatique - Région lombaire
M4837;Spondylopathie traumatique - Région lombo-sacrée
M4838;Spondylopathie traumatique - Région sacrée et sacro-coccygienne
M4839;Spondylopathie traumatique - Localisation non précisée
M484;Fracture vertébrale de fatigue
M4840;Fracture vertébrale de fatigue - Localisations vertébrales multiples
M4841;Fracture vertébrale de fatigue - Région occipito-atloïdo-axoïdienne
M4842;Fracture vertébrale de fatigue - Région cervicale
M4843;Fracture vertébrale de fatigue - Région cervico-dorsale
M4844;Fracture vertébrale de fatigue - Région dorsale
M4845;Fracture vertébrale de fatigue - Région dorso-lombaire
M4846;Fracture vertébrale de fatigue - Région lombaire
M4847;Fracture vertébrale de fatigue - Région lombo-sacrée
M4848;Fracture vertébrale de fatigue - Région sacrée et sacro-coccygienne
M4849;Fracture vertébrale de fatigue - Localisation non précisée
M485;Tassement vertébral, non classé ailleurs
M4850;Tassement vertébral, non classé ailleurs - Localisations vertébrales multiples
M4851;Tassement vertébral, non classé ailleurs - Région occipito-atloïdo-axoïdienne
M4852;Tassement vertébral, non classé ailleurs - Région cervicale
M4853;Tassement vertébral, non classé ailleurs - Région cervico-dorsale
M4854;Tassement vertébral, non classé ailleurs - Région dorsale
M4855;Tassement vertébral, non classé ailleurs - Région dorso-lombaire
M4856;Tassement vertébral, non classé ailleurs - Région lombaire
M4857;Tassement vertébral, non classé ailleurs - Région lombo-sacrée
M4858;Tassement vertébral, non classé ailleurs - Région sacrée et sacro-coccygienne
M4859;Tassement vertébral, non classé ailleurs - Localisation non précisée
M488;Autres spondylopathies précisées
M4880;Autres spondylopathies précisées - Localisations vertébrales multiples
M4881;Autres spondylopathies précisées - Région occipito-atloïdo-axoïdienne
M4882;Autres spondylopathies précisées - Région cervicale
M4883;Autres spondylopathies précisées - Région cervico-dorsale
M4884;Autres spondylopathies précisées - Région dorsale
M4885;Autres spondylopathies précisées - Région dorso-lombaire
M4886;Autres spondylopathies précisées - Région lombaire
M4887;Autres spondylopathies précisées - Région lombo-sacrée
M4888;Autres spondylopathies précisées - Région sacrée et sacro-coccygienne
M4889;Autres spondylopathies précisées - Localisation non précisée
M489;Spondylopathie, sans précision
M4890;Spondylopathie, sans précision - Localisations vertébrales multiples
M4891;Spondylopathie, sans précision - Région occipito-atloïdo-axoïdienne
M4892;Spondylopathie, sans précision - Région cervicale
M4893;Spondylopathie, sans précision - Région cervico-dorsale
M4894;Spondylopathie, sans précision - Région dorsale
M4895;Spondylopathie, sans précision - Région dorso-lombaire
M4896;Spondylopathie, sans précision - Région lombaire
M4897;Spondylopathie, sans précision - Région lombo-sacrée
M4898;Spondylopathie, sans précision - Région sacrée et sacro-coccygienne
M4899;Spondylopathie, sans précision - Localisation non précisée
M490;Tuberculose vertébrale (A18.0)
M4900;Tuberculose vertébrale (A18.0) - Localisations vertébrales multiples
M4901;Tuberculose vertébrale (A18.0) - Région occipito-atloïdo-axoïdienne
M4902;Tuberculose vertébrale (A18.0) - Région cervicale
M4903;Tuberculose vertébrale (A18.0) - Région cervico-dorsale
M4904;Tuberculose vertébrale (A18.0) - Région dorsale
M4905;Tuberculose vertébrale (A18.0) - Région dorso-lombaire
M4906;Tuberculose vertébrale (A18.0) - Région lombaire
M4907;Tuberculose vertébrale (A18.0) - Région lombo-sacrée
M4908;Tuberculose vertébrale (A18.0) - Région sacrée et sacro-coccygienne
M4909;Tuberculose vertébrale (A18.0) - Localisation non précisée
M491;Spondylite au cours de brucellose (A23.-)
M4910;Spondylite au cours de brucellose (A23.-) - Localisations vertébrales multiples
M4911;Spondylite au cours de brucellose (A23.-) - Région occipito-atloïdo-axoïdienne
M4912;Spondylite au cours de brucellose (A23.-) - Région cervicale
M4913;Spondylite au cours de brucellose (A23.-) - Région cervico-dorsale
M4914;Spondylite au cours de brucellose (A23.-) - Région dorsale
M4915;Spondylite au cours de brucellose (A23.-) - Région dorso-lombaire
M4916;Spondylite au cours de brucellose (A23.-) - Région lombaire
M4917;Spondylite au cours de brucellose (A23.-) - Région lombo-sacrée
M4918;Spondylite au cours de brucellose (A23.-) - Région sacrée et sacro-coccygienne
M4919;Spondylite au cours de brucellose (A23.-) - Localisation non précisée
M492;Spondylite entérobactérienne (A01-A04)
M4920;Spondylite entérobactérienne (A01-A04) - Localisations vertébrales multiples
M4921;Spondylite entérobactérienne (A01-A04) - Région occipito-atloïdo-axoïdienne
M4922;Spondylite entérobactérienne (A01-A04) - Région cervicale
M4923;Spondylite entérobactérienne (A01-A04) - Région cervico-dorsale
M4924;Spondylite entérobactérienne (A01-A04) - Région dorsale
M4925;Spondylite entérobactérienne (A01-A04) - Région dorso-lombaire
M4926;Spondylite entérobactérienne (A01-A04) - Région lombaire
M4927;Spondylite entérobactérienne (A01-A04) - Région lombo-sacrée
M4928;Spondylite entérobactérienne (A01-A04) - Région sacrée et sacro-coccygienne
M4929;Spondylite entérobactérienne (A01-A04) - Localisation non précisée
M493;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs
M4930;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Localisations vertébrales multiples
M4931;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région occipito-atloïdo-axoïdienne
M4932;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région cervicale
M4933;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région cervico-dorsale
M4934;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région dorsale
M4935;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région dorso-lombaire
M4936;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région lombaire
M4937;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région lombo-sacrée
M4938;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Région sacrée et sacro-coccygienne
M4939;Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs - Localisation non précisée
M494;Spondylopathie neurologique
M4940;Spondylopathie neurologique - Localisations vertébrales multiples
M4941;Spondylopathie neurologique - Région occipito-atloïdo-axoïdienne
M4942;Spondylopathie neurologique - Région cervicale
M4943;Spondylopathie neurologique - Région cervico-dorsale
M4944;Spondylopathie neurologique - Région dorsale
M4945;Spondylopathie neurologique - Région dorso-lombaire
M4946;Spondylopathie neurologique - Région lombaire
M4947;Spondylopathie neurologique - Région lombo-sacrée
M4948;Spondylopathie neurologique - Région sacrée et sacro-coccygienne
M4949;Spondylopathie neurologique - Localisation non précisée
M495;Tassement vertébral au cours de maladies classées ailleurs
M4950;Tassement vertébral au cours de maladies classées ailleurs - Localisations vertébrales multiples
M4951;Tassement vertébral au cours de maladies classées ailleurs - Région occipito-atloïdo-axoïdienne
M4952;Tassement vertébral au cours de maladies classées ailleurs - Région cervicale
M4953;Tassement vertébral au cours de maladies classées ailleurs - Région cervico-dorsale
M4954;Tassement vertébral au cours de maladies classées ailleurs - Région dorsale
M4955;Tassement vertébral au cours de maladies classées ailleurs - Région dorso-lombaire
M4956;Tassement vertébral au cours de maladies classées ailleurs - Région lombaire
M4957;Tassement vertébral au cours de maladies classées ailleurs - Région lombo-sacrée
M4958;Tassement vertébral au cours de maladies classées ailleurs - Région sacrée et sacro-coccygienne
M4959;Tassement vertébral au cours de maladies classées ailleurs - Localisation non précisée
M498;Spondylopathie au cours d'autres maladies classées ailleurs
M4980;Spondylopathie au cours d'autres maladies classées ailleurs - Localisations vertébrales multiples
M4981;Spondylopathie au cours d'autres maladies classées ailleurs - Région occipito-atloïdo-axoïdienne
M4982;Spondylopathie au cours d'autres maladies classées ailleurs - Région cervicale
M4983;Spondylopathie au cours d'autres maladies classées ailleurs - Région cervico-dorsale
M4984;Spondylopathie au cours d'autres maladies classées ailleurs - Région dorsale
M4985;Spondylopathie au cours d'autres maladies classées ailleurs - Région dorso-lombaire
M4986;Spondylopathie au cours d'autres maladies classées ailleurs - Région lombaire
M4987;Spondylopathie au cours d'autres maladies classées ailleurs - Région lombo-sacrée
M4988;Spondylopathie au cours d'autres maladies classées ailleurs - Région sacrée et sacro-coccygienne
M4989;Spondylopathie au cours d'autres maladies classées ailleurs - Localisation non précisée
M500;Atteinte d'un disque cervical avec myélopathie (G99.2)
M501;Atteinte d'un disque cervical avec radiculopathie
M502;Autre hernie d'un disque cervical
M503;Autre détérioration d'un disque cervical
M508;Autres atteintes d'un disque cervical
M509;Atteinte d'un disque cervical, sans précision
M510;Atteintes d'un disque lombaire et d'autres disques intervertébraux avec myélopathie (G99.2)
M511;Atteintes d'un disque lombaire et d'autres disques intervertébraux avec radiculopathie
M512;Hernie d'un autre disque intervertébral précisé
M513;Détérioration d'un autre disque intervertébral précisé
M514;Nodules de Schmorl
M518;Autres atteintes précisées d'un disque intervertébral
M519;Atteinte d'un disque intervertébral, sans précision
M530;Syndrome cervico-céphalique
M5300;Syndrome cervico-céphalique - Localisations vertébrales multiples
M5301;Syndrome cervico-céphalique - Région occipito-atloïdo-axoïdienne
M5302;Syndrome cervico-céphalique - Région cervicale
M5303;Syndrome cervico-céphalique - Région cervico-dorsale
M5309;Syndrome cervico-céphalique - Localisation non précisée
M531;Syndrome cervico-brachial
M5310;Syndrome cervico-brachial - Localisations vertébrales multiples
M5312;Syndrome cervico-brachial - Région cervicale
M5313;Syndrome cervico-brachial - Région cervico-dorsale
M5319;Syndrome cervico-brachial - Localisation non précisée
M532;Instabilités vertébrales
M5320;Instabilités vertébrales - Localisations vertébrales multiples
M5321;Instabilités vertébrales - Région occipito-atloïdo-axoïdienne
M5322;Instabilités vertébrales - Région cervicale
M5323;Instabilités vertébrales - Région cervico-dorsale
M5324;Instabilités vertébrales - Région dorsale
M5325;Instabilités vertébrales - Région dorso-lombaire
M5326;Instabilités vertébrales - Région lombaire
M5327;Instabilités vertébrales - Région lombo-sacrée
M5328;Instabilités vertébrales - Région sacrée et sacro-coccygienne
M5329;Instabilités vertébrales - Localisation non précisée
M533;Atteintes sacro-coccygiennes, non classées ailleurs
M5330;Atteintes sacro-coccygiennes, non classées ailleurs - Localisations vertébrales multiples
M5338;Atteintes sacro-coccygiennes, non classées ailleurs - Région sacrée et sacro-coccygienne
M5339;Atteintes sacro-coccygiennes, non classées ailleurs - Localisation non précisée
M538;Autres dorsopathies précisées
M5380;Autres dorsopathies précisées - Localisations vertébrales multiples
M5381;Autres dorsopathies précisées - Région occipito-atloïdo-axoïdienne
M5382;Autres dorsopathies précisées - Région cervicale
M5383;Autres dorsopathies précisées - Région cervico-dorsale
M5384;Autres dorsopathies précisées - Région dorsale
M5385;Autres dorsopathies précisées - Région dorso-lombaire
M5386;Autres dorsopathies précisées - Région lombaire
M5387;Autres dorsopathies précisées - Région lombo-sacrée
M5388;Autres dorsopathies précisées - Région sacrée et sacro-coccygienne
M5389;Autres dorsopathies précisées - Localisation non précisée
M539;Dorsopathie, sans précision
M5390;Dorsopathie, sans précision - Localisations vertébrales multiples
M5391;Dorsopathie, sans précision - Région occipito-atloïdo-axoïdienne
M5392;Dorsopathie, sans précision - Région cervicale
M5393;Dorsopathie, sans précision - Région cervico-dorsale
M5394;Dorsopathie, sans précision - Région dorsale
M5395;Dorsopathie, sans précision - Région dorso-lombaire
M5396;Dorsopathie, sans précision - Région lombaire
M5397;Dorsopathie, sans précision - Région lombo-sacrée
M5398;Dorsopathie, sans précision - Région sacrée et sacro-coccygienne
M5399;Dorsopathie, sans précision - Localisation non précisée
M540;Panniculite affectant le cou et le dos
M5400;Panniculite affectant le cou et le dos - Localisations multiples
M5401;Panniculite affectant le cou et le dos - Région occipito-atloïdo-axoïdienne
M5402;Panniculite affectant le cou et le dos - Région cervicale
M5403;Panniculite affectant le cou et le dos - Région cervico-dorsale
M5404;Panniculite affectant le cou et le dos - Région dorsale
M5405;Panniculite affectant le cou et le dos - Région dorso-lombaire
M5406;Panniculite affectant le cou et le dos - Région lombaire
M5407;Panniculite affectant le cou et le dos - Région lombo-sacrée
M5408;Panniculite affectant le cou et le dos - Région sacrée et sacro-coccygienne
M5409;Panniculite affectant le cou et le dos - Localisation non précisée
M541;Radiculopathie
M5410;Radiculopathie - Localisations vertébrales multiples
M5411;Radiculopathie - Région occipito-atloïdo-axoïdienne
M5412;Radiculopathie - Région cervicale
M5413;Radiculopathie - Région cervico-dorsale
M5414;Radiculopathie - Région dorsale
M5415;Radiculopathie - Région dorso-lombaire
M5416;Radiculopathie - Région lombaire
M5417;Radiculopathie - Région lombo-sacrée
M5418;Radiculopathie - Région sacrée et sacro-coccygienne
M5419;Radiculopathie - Localisation non précisée
M542;Cervicalgie
M5420;Cervicalgie - Localisations vertébrales multiples
M5421;Cervicalgie - Région occipito-atloïdo-axoïdienne
M5422;Cervicalgie - Région cervicale
M5423;Cervicalgie - Région cervico-dorsale
M5429;Cervicalgie - Localisation non précisée
M543;Sciatique
M5430;Sciatique - Localisations vertébrales multiples
M5436;Sciatique - Région lombaire
M5437;Sciatique - Région lombo-sacrée
M5438;Sciatique - Région sacrée et sacro-coccygienne
M5439;Sciatique - Localisation non précisée
M544;Lumbago avec sciatique
M5440;Lumbago avec sciatique - Localisations vertébrales multiples
M5446;Lumbago avec sciatique - Région lombaire
M5447;Lumbago avec sciatique - Région lombo-sacrée
M5448;Lumbago avec sciatique - Région sacrée et sacro-coccygienne
M5449;Lumbago avec sciatique - Localisation non précisée
M545;Lombalgie basse
M5450;Lombalgie basse - Localisations vertébrales multiples
M5456;Lombalgie basse - Région lombaire
M5457;Lombalgie basse - Région lombo-sacrée
M5458;Lombalgie basse - Région sacrée et sacro-coccygienne
M5459;Lombalgie basse - Localisation non précisée
M546;Rachialgies dorsales
M5460;Rachialgies dorsales - Localisations vertébrales multiples
M5461;Rachialgies dorsales - Région occipito-atloïdo-axoïdienne
M5462;Rachialgies dorsales - Région cervicale
M5463;Rachialgies dorsales - Région cervico-dorsale
M5464;Rachialgies dorsales - Région dorsale
M5465;Rachialgies dorsales - Région dorso-lombaire
M5466;Rachialgies dorsales - Région lombaire
M5467;Rachialgies dorsales - Région lombo-sacrée
M5468;Rachialgies dorsales - Région sacrée et sacro-coccygienne
M5469;Rachialgies dorsales - Localisation non précisée
M548;Autres dorsalgies
M5480;Autres dorsalgies - Localisations vertébrales multiples
M5481;Autres dorsalgies - Région occipito-atloïdo-axoïdienne
M5482;Autres dorsalgies - Région cervicale
M5483;Autres dorsalgies - Région cervico-dorsale
M5484;Autres dorsalgies - Région dorsale
M5485;Autres dorsalgies - Région dorso-lombaire
M5486;Autres dorsalgies - Région lombaire
M5487;Autres dorsalgies - Région lombo-sacrée
M5488;Autres dorsalgies - Région sacrée et sacro-coccygienne
M5489;Autres dorsalgies - Localisation non précisée
M549;Dorsalgie, sans précision
M5499;Dorsalgie, sans précision - Localisation non précisée
M600;Myosite infectieuse
M6000;Myosite infectieuse - Sièges multiples
M6001;Myosite infectieuse - Région scapulaire
M6002;Myosite infectieuse - Bras
M6003;Myosite infectieuse - Avant-bras
M6004;Myosite infectieuse - Main
M6005;Myosite infectieuse - Région pelvienne et cuisse
M6006;Myosite infectieuse - Jambe
M6007;Myosite infectieuse - Cheville et pied
M6008;Myosite infectieuse - Autres
M6009;Myosite infectieuse - Siège non précisé
M601;Myosite interstitielle
M6010;Myosite interstitielle - Sièges multiples
M6011;Myosite interstitielle - Région scapulaire
M6012;Myosite interstitielle - Bras
M6013;Myosite interstitielle - Avant-bras
M6014;Myosite interstitielle - Main
M6015;Myosite interstitielle - Région pelvienne et cuisse
M6016;Myosite interstitielle - Jambe
M6017;Myosite interstitielle - Cheville et pied
M6018;Myosite interstitielle - Autres
M6019;Myosite interstitielle - Siège non précisé
M602;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs
M6020;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Sièges multiples
M6021;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Région scapulaire
M6022;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Bras
M6023;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Avant-bras
M6024;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Main
M6025;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Région pelvienne et cuisse
M6026;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Jambe
M6027;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Cheville et pied
M6028;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Autres
M6029;Granulome d'un tissu mou dû à la présence d'un corps étranger, non classé ailleurs - Siège non précisé
M608;Autres myosites
M6080;Autres myosites - Sièges multiples
M6081;Autres myosites - Région scapulaire
M6082;Autres myosites - Bras
M6083;Autres myosites - Avant-bras
M6084;Autres myosites - Main
M6085;Autres myosites - Région pelvienne et cuisse
M6086;Autres myosites - Jambe
M6087;Autres myosites - Cheville et pied
M6088;Autres myosites - Autres
M6089;Autres myosites - Siège non précisé
M609;Myosite, sans précision
M6090;Myosite, sans précision - Sièges multiples
M6091;Myosite, sans précision - Région scapulaire
M6092;Myosite, sans précision - Bras
M6093;Myosite, sans précision - Avant-bras
M6094;Myosite, sans précision - Main
M6095;Myosite, sans précision - Région pelvienne et cuisse
M6096;Myosite, sans précision - Jambe
M6097;Myosite, sans précision - Cheville et pied
M6098;Myosite, sans précision - Autres
M6099;Myosite, sans précision - Siège non précisé
M610;Myosite ossifiante traumatique
M6100;Myosite ossifiante traumatique - Sièges multiples
M6101;Myosite ossifiante traumatique - Région scapulaire
M6102;Myosite ossifiante traumatique - Bras
M6103;Myosite ossifiante traumatique - Avant-bras
M6104;Myosite ossifiante traumatique - Main
M6105;Myosite ossifiante traumatique - Région pelvienne et cuisse
M6106;Myosite ossifiante traumatique - Jambe
M6107;Myosite ossifiante traumatique - Cheville et pied
M6108;Myosite ossifiante traumatique - Autres
M6109;Myosite ossifiante traumatique - Siège non précisé
M611;Myosite ossifiante progressive
M6110;Myosite ossifiante progressive - Sièges multiples
M6111;Myosite ossifiante progressive - Région scapulaire
M6112;Myosite ossifiante progressive - Bras
M6113;Myosite ossifiante progressive - Avant-bras
M6114;Myosite ossifiante progressive - Main
M6115;Myosite ossifiante progressive - Région pelvienne et cuisse
M6116;Myosite ossifiante progressive - Jambe
M6117;Myosite ossifiante progressive - Cheville et pied
M6118;Myosite ossifiante progressive - Autres
M6119;Myosite ossifiante progressive - Siège non précisé
M612;Calcification et ossification paralytiques de muscles
M6120;Calcification et ossification paralytiques de muscles - Sièges multiples
M6121;Calcification et ossification paralytiques de muscles - Région scapulaire
M6122;Calcification et ossification paralytiques de muscles - Bras
M6123;Calcification et ossification paralytiques de muscles - Avant-bras
M6124;Calcification et ossification paralytiques de muscles - Main
M6125;Calcification et ossification paralytiques de muscles - Région pelvienne et cuisse
M6126;Calcification et ossification paralytiques de muscles - Jambe
M6127;Calcification et ossification paralytiques de muscles - Cheville et pied
M6128;Calcification et ossification paralytiques de muscles - Autres
M6129;Calcification et ossification paralytiques de muscles - Siège non précisé
M613;Calcification et ossification de muscles associées à des brûlures
M6130;Calcification et ossification de muscles associées à des brûlures - Sièges multiples
M6131;Calcification et ossification de muscles associées à des brûlures - Région scapulaire
M6132;Calcification et ossification de muscles associées à des brûlures - Bras
M6133;Calcification et ossification de muscles associées à des brûlures - Avant-bras
M6134;Calcification et ossification de muscles associées à des brûlures - Main
M6135;Calcification et ossification de muscles associées à des brûlures - Région pelvienne et cuisse
M6136;Calcification et ossification de muscles associées à des brûlures - Jambe
M6137;Calcification et ossification de muscles associées à des brûlures - Cheville et pied
M6138;Calcification et ossification de muscles associées à des brûlures - Autres
M6139;Calcification et ossification de muscles associées à des brûlures - Siège non précisé
M614;Autres calcifications de muscles
M6140;Autres calcifications de muscles - Sièges multiples
M6141;Autres calcifications de muscles - Région scapulaire
M6142;Autres calcifications de muscles - Bras
M6143;Autres calcifications de muscles - Avant-bras
M6144;Autres calcifications de muscles - Main
M6145;Autres calcifications de muscles - Région pelvienne et cuisse
M6146;Autres calcifications de muscles - Jambe
M6147;Autres calcifications de muscles - Cheville et pied
M6148;Autres calcifications de muscles - Autres
M6149;Autres calcifications de muscles - Siège non précisé
M615;Autres ossifications de muscles
M6150;Autres ossifications de muscles - Sièges multiples
M6151;Autres ossifications de muscles - Région scapulaire
M6152;Autres ossifications de muscles - Bras
M6153;Autres ossifications de muscles - Avant-bras
M6154;Autres ossifications de muscles - Main
M6155;Autres ossifications de muscles - Région pelvienne et cuisse
M6156;Autres ossifications de muscles - Jambe
M6157;Autres ossifications de muscles - Cheville et pied
M6158;Autres ossifications de muscles - Autres
M6159;Autres ossifications de muscles - Siège non précisé
M619;Calcification et ossification de muscles, sans précision
M6190;Calcification et ossification de muscles, sans précision - Sièges multiples
M6191;Calcification et ossification de muscles, sans précision - Région scapulaire
M6192;Calcification et ossification de muscles, sans précision - Bras
M6193;Calcification et ossification de muscles, sans précision - Avant-bras
M6194;Calcification et ossification de muscles, sans précision - Main
M6195;Calcification et ossification de muscles, sans précision - Région pelvienne et cuisse
M6196;Calcification et ossification de muscles, sans précision - Jambe
M6197;Calcification et ossification de muscles, sans précision - Cheville et pied
M6198;Calcification et ossification de muscles, sans précision - Autres
M6199;Calcification et ossification de muscles, sans précision - Siège non précisé
M620;Diastasis musculaire (n'entraînant pas de hernie)
M6200;Diastasis musculaire (n'entraînant pas de hernie) - Sièges multiples
M6201;Diastasis musculaire (n'entraînant pas de hernie) - Région scapulaire
M6202;Diastasis musculaire (n'entraînant pas de hernie) - Bras
M6203;Diastasis musculaire (n'entraînant pas de hernie) - Avant-bras
M6204;Diastasis musculaire (n'entraînant pas de hernie) - Main
M6205;Diastasis musculaire (n'entraînant pas de hernie) - Région pelvienne et cuisse
M6206;Diastasis musculaire (n'entraînant pas de hernie) - Jambe
M6207;Diastasis musculaire (n'entraînant pas de hernie) - Cheville et pied
M6208;Diastasis musculaire (n'entraînant pas de hernie) - Autres
M6209;Diastasis musculaire (n'entraînant pas de hernie) - Siège non précisé
M621;Autres déchirures musculaires (non traumatiques)
M6210;Autres déchirures musculaires (non traumatiques) - Sièges multiples
M6211;Autres déchirures musculaires (non traumatiques) - Région scapulaire
M6212;Autres déchirures musculaires (non traumatiques) - Bras
M6213;Autres déchirures musculaires (non traumatiques) - Avant-bras
M6214;Autres déchirures musculaires (non traumatiques) - Main
M6215;Autres déchirures musculaires (non traumatiques) - Région pelvienne et cuisse
M6216;Autres déchirures musculaires (non traumatiques) - Jambe
M6217;Autres déchirures musculaires (non traumatiques) - Cheville et pied
M6218;Autres déchirures musculaires (non traumatiques) - Autres
M6219;Autres déchirures musculaires (non traumatiques) - Siège non précisé
M622;Infarcissement ischémique musculaire
M6220;Infarcissement ischémique musculaire - Sièges multiples
M6221;Infarcissement ischémique musculaire - Région scapulaire
M6222;Infarcissement ischémique musculaire - Bras
M6223;Infarcissement ischémique musculaire - Avant-bras
M6224;Infarcissement ischémique musculaire - Main
M6225;Infarcissement ischémique musculaire - Région pelvienne et cuisse
M6226;Infarcissement ischémique musculaire - Jambe
M6227;Infarcissement ischémique musculaire - Cheville et pied
M6228;Infarcissement ischémique musculaire - Autres
M6229;Infarcissement ischémique musculaire - Siège non précisé
M623;Syndrome d'immobilité (paraplégique)
M6230;Syndrome d'immobilité (paraplégique) - Sièges multiples
M6231;Syndrome d'immobilité (paraplégique) - Région scapulaire
M6232;Syndrome d'immobilité (paraplégique) - Bras
M6233;Syndrome d'immobilité (paraplégique) - Avant-bras
M6234;Syndrome d'immobilité (paraplégique) - Main
M6235;Syndrome d'immobilité (paraplégique) - Région pelvienne et cuisse
M6236;Syndrome d'immobilité (paraplégique) - Jambe
M6237;Syndrome d'immobilité (paraplégique) - Cheville et pied
M6238;Syndrome d'immobilité (paraplégique) - Autres
M6239;Syndrome d'immobilité (paraplégique) - Siège non précisé
M624;Contracture musculaire
M6240;Contracture musculaire - Sièges multiples
M6241;Contracture musculaire - Région scapulaire
M6242;Contracture musculaire - Bras
M6243;Contracture musculaire - Avant-bras
M6244;Contracture musculaire - Main
M6245;Contracture musculaire - Région pelvienne et cuisse
M6246;Contracture musculaire - Jambe
M6247;Contracture musculaire - Cheville et pied
M6248;Contracture musculaire - Autres
M6249;Contracture musculaire - Siège non précisé
M625;Atrophie et fonte musculaires, non classées ailleurs
M6250;Atrophie et fonte musculaires, non classées ailleurs - Sièges multiples
M6251;Atrophie et fonte musculaires, non classées ailleurs - Région scapulaire
M6252;Atrophie et fonte musculaires, non classées ailleurs - Bras
M6253;Atrophie et fonte musculaires, non classées ailleurs - Avant-bras
M6254;Atrophie et fonte musculaires, non classées ailleurs - Main
M6255;Atrophie et fonte musculaires, non classées ailleurs - Région pelvienne et cuisse
